tipe_entitas,nama_entitas,tahun,nilai
Kontraktor,"Adaro Indonesia, PT",2003,15187110
Kontraktor,"Adaro Indonesia, PT",2004,15098568
Kontraktor,"Adaro Indonesia, PT",2005,17317389
Kontraktor,"Adaro Indonesia, PT",2006,24137923
Kontraktor,"Adaro Indonesia, PT",2007,24465249
Kontraktor,"Adaro Indonesia, PT",2008,30182587
Kontraktor,"Adaro Indonesia, PT",2009,31585017
Kontraktor,"Adaro Indonesia, PT",2010,9401290
Kontraktor,"Allied Indo Coal, PT",2003,
Kontraktor,"Allied Indo Coal, PT",2004,
Kontraktor,"Allied Indo Coal, PT",2005,
Kontraktor,"Allied Indo Coal, PT",2006,
Kontraktor,"Allied Indo Coal, PT",2007,
Kontraktor,"Allied Indo Coal, PT",2008,
Kontraktor,"Allied Indo Coal, PT",2009,
Kontraktor,"Allied Indo Coal, PT",2010,
Kontraktor,"Antang Gunung Meratus, PT",2003,
Kontraktor,"Antang Gunung Meratus, PT",2004,
Kontraktor,"Antang Gunung Meratus, PT",2005,
Kontraktor,"Antang Gunung Meratus, PT",2006,
Kontraktor,"Antang Gunung Meratus, PT",2007,
Kontraktor,"Antang Gunung Meratus, PT",2008,
Kontraktor,"Antang Gunung Meratus, PT",2009,
Kontraktor,"Antang Gunung Meratus, PT",2010,
Kontraktor,"Arutmin Indonesia, PT",2003,12987344
Kontraktor,"Arutmin Indonesia, PT",2004,13754456
Kontraktor,"Arutmin Indonesia, PT",2005,12516891
Kontraktor,"Arutmin Indonesia, PT",2006,13276712
Kontraktor,"Arutmin Indonesia, PT",2007,13544669
Kontraktor,"Arutmin Indonesia, PT",2008,14262642
Kontraktor,"Arutmin Indonesia, PT",2009,17169828
Kontraktor,"Arutmin Indonesia, PT",2010,5526069
Kontraktor,"Asmin Koalindo Tuhup, PT",2003,
Kontraktor,"Asmin Koalindo Tuhup, PT",2004,
Kontraktor,"Asmin Koalindo Tuhup, PT",2005,
Kontraktor,"Asmin Koalindo Tuhup, PT",2006,
Kontraktor,"Asmin Koalindo Tuhup, PT",2007,
Kontraktor,"Asmin Koalindo Tuhup, PT",2008,
Kontraktor,"Asmin Koalindo Tuhup, PT",2009,204508.19
Kontraktor,"Asmin Koalindo Tuhup, PT",2010,116482
Kontraktor,"Bahari Cakrawala Sebuku, PT",2003,1885245
Kontraktor,"Bahari Cakrawala Sebuku, PT",2004,2695654
Kontraktor,"Bahari Cakrawala Sebuku, PT",2005,2822636
Kontraktor,"Bahari Cakrawala Sebuku, PT",2006,3621795
Kontraktor,"Bahari Cakrawala Sebuku, PT",2007,3466451
Kontraktor,"Bahari Cakrawala Sebuku, PT",2008,3603775
Kontraktor,"Bahari Cakrawala Sebuku, PT",2009,1922341
Kontraktor,"Bahari Cakrawala Sebuku, PT",2010,212330
Kontraktor,"Bangun Banua Persada Kalimantan, PT",2003,
Kontraktor,"Bangun Banua Persada Kalimantan, PT",2004,
Kontraktor,"Bangun Banua Persada Kalimantan, PT",2005,
Kontraktor,"Bangun Banua Persada Kalimantan, PT",2006,
Kontraktor,"Bangun Banua Persada Kalimantan, PT",2007,
Kontraktor,"Bangun Banua Persada Kalimantan, PT",2008,
Kontraktor,"Bangun Banua Persada Kalimantan, PT",2009,
Kontraktor,"Bangun Banua Persada Kalimantan, PT",2010,
Kontraktor,"Baramarta, PD",2003,719233.82
Kontraktor,"Baramarta, PD",2004,1049292.5
Kontraktor,"Baramarta, PD",2005,95176.73
Kontraktor,"Baramarta, PD",2006,2256367
Kontraktor,"Baramarta, PD",2007,
Kontraktor,"Baramarta, PD",2008,
Kontraktor,"Baramarta, PD",2009,
Kontraktor,"Baramarta, PD",2010,
Kontraktor,"Baramulti Suksessarana, PT",2003,
Kontraktor,"Baramulti Suksessarana, PT",2004,
Kontraktor,"Baramulti Suksessarana, PT",2005,
Kontraktor,"Baramulti Suksessarana, PT",2006,
Kontraktor,"Baramulti Suksessarana, PT",2007,
Kontraktor,"Baramulti Suksessarana, PT",2008,
Kontraktor,"Baramulti Suksessarana, PT",2009,
Kontraktor,"Baramulti Suksessarana, PT",2010,
Kontraktor,"Batualam Selaras, PT",2003,
Kontraktor,"Batualam Selaras, PT",2004,
Kontraktor,"Batualam Selaras, PT",2005,
Kontraktor,"Batualam Selaras, PT",2006,
Kontraktor,"Batualam Selaras, PT",2007,
Kontraktor,"Batualam Selaras, PT",2008,
Kontraktor,"Batualam Selaras, PT",2009,
Kontraktor,"Batualam Selaras, PT",2010,
Kontraktor,"Berau Coal, PT",2003,4266215
Kontraktor,"Berau Coal, PT",2004,6160482
Kontraktor,"Berau Coal, PT",2005,5762556
Kontraktor,"Berau Coal, PT",2006,6757761.5
Kontraktor,"Berau Coal, PT",2007,7605711
Kontraktor,"Berau Coal, PT",2008,8188801
Kontraktor,"Berau Coal, PT",2009,10019991
Kontraktor,"Berau Coal, PT",2010,3066906
Kontraktor,"Borneo Indobara, PT",2003,
Kontraktor,"Borneo Indobara, PT",2004,
Kontraktor,"Borneo Indobara, PT",2005,
Kontraktor,"Borneo Indobara, PT",2006,
Kontraktor,"Borneo Indobara, PT",2007,
Kontraktor,"Borneo Indobara, PT",2008,1077438.6
Kontraktor,"Borneo Indobara, PT",2009,635310.13
Kontraktor,"Borneo Indobara, PT",2010,163843.46
BUMN,Bukit Asam,2003,
BUMN,Bukit Asam,2004,
BUMN,Bukit Asam,2005,2492201
BUMN,Bukit Asam,2006,2848534
BUMN,Bukit Asam,2007,3808057
BUMN,Bukit Asam,2008,4008249.6
BUMN,Bukit Asam,2009,4416312
BUMN,Bukit Asam,2010,1201395
BUMN,Bukit Asam - Ombilin,2003,
BUMN,Bukit Asam - Ombilin,2004,
BUMN,Bukit Asam - Ombilin,2005,
BUMN,Bukit Asam - Ombilin,2006,
BUMN,Bukit Asam - Ombilin,2007,
BUMN,Bukit Asam - Ombilin,2008,71225
BUMN,Bukit Asam - Ombilin,2009,
BUMN,Bukit Asam - Ombilin,2010,
BUMN,Bukit Asam - Tanjung Enim - Antrasit,2003,2360806
BUMN,Bukit Asam - Tanjung Enim - Antrasit,2004,2712468
BUMN,Bukit Asam - Tanjung Enim - Antrasit,2005,
BUMN,Bukit Asam - Tanjung Enim - Antrasit,2006,
BUMN,Bukit Asam - Tanjung Enim - Antrasit,2007,
BUMN,Bukit Asam - Tanjung Enim - Antrasit,2008,
BUMN,Bukit Asam - Tanjung Enim - Antrasit,2009,
BUMN,Bukit Asam - Tanjung Enim - Antrasit,2010,
Kontraktor,"Firman Ketaun Perkasa, PT",2003,
Kontraktor,"Firman Ketaun Perkasa, PT",2004,
Kontraktor,"Firman Ketaun Perkasa, PT",2005,
Kontraktor,"Firman Ketaun Perkasa, PT",2006,
Kontraktor,"Firman Ketaun Perkasa, PT",2007,
Kontraktor,"Firman Ketaun Perkasa, PT",2008,
Kontraktor,"Firman Ketaun Perkasa, PT",2009,227138
Kontraktor,"Firman Ketaun Perkasa, PT",2010,54955
Kontraktor,"Gunung Bayan Pratamacoal, PT",2003,3538810.1
Kontraktor,"Gunung Bayan Pratamacoal, PT",2004,1149.8
Kontraktor,"Gunung Bayan Pratamacoal, PT",2005,
Kontraktor,"Gunung Bayan Pratamacoal, PT",2006,949843
Kontraktor,"Gunung Bayan Pratamacoal, PT",2007,934868
Kontraktor,"Gunung Bayan Pratamacoal, PT",2008,623549
Kontraktor,"Gunung Bayan Pratamacoal, PT",2009,1152284
Kontraktor,"Gunung Bayan Pratamacoal, PT",2010,280217
Kontraktor,"Indominco Mandiri, PT",2003,4787412
Kontraktor,"Indominco Mandiri, PT",2004,6512896
Kontraktor,"Indominco Mandiri, PT",2005,8901843
Kontraktor,"Indominco Mandiri, PT",2006,10466251
Kontraktor,"Indominco Mandiri, PT",2007,12061965
Kontraktor,"Indominco Mandiri, PT",2008,10258736
Kontraktor,"Indominco Mandiri, PT",2009,13059005
Kontraktor,"Indominco Mandiri, PT",2010,3503761
Kontraktor,"Insani Bara Perkasa, PT",2003,
Kontraktor,"Insani Bara Perkasa, PT",2004,
Kontraktor,"Insani Bara Perkasa, PT",2005,
Kontraktor,"Insani Bara Perkasa, PT",2006,17142.56
Kontraktor,"Insani Bara Perkasa, PT",2007,113330.46
Kontraktor,"Insani Bara Perkasa, PT",2008,733617.55
Kontraktor,"Insani Bara Perkasa, PT",2009,930278.98
Kontraktor,"Insani Bara Perkasa, PT",2010,397097.13
Kontraktor,"Interex Sacra Raya, PT",2003,
Kontraktor,"Interex Sacra Raya, PT",2004,
Kontraktor,"Interex Sacra Raya, PT",2005,
Kontraktor,"Interex Sacra Raya, PT",2006,26282.81
Kontraktor,"Interex Sacra Raya, PT",2007,138554.28
Kontraktor,"Interex Sacra Raya, PT",2008,66012.28
Kontraktor,"Interex Sacra Raya, PT",2009,12317.09
